1. What is your gender?,2. What is your age?,3. What is your current family situation?,4. What year of study are you in?,5. How much stress do you experience in the following areas of life? [Academic performance],5. How much stress do you experience in the following areas of life? [Family relationships],5. How much stress do you experience in the following areas of life? [Financial situation],5. How much stress do you experience in the following areas of life? [Social life],5. How much stress do you experience in the following areas of life? [Problems of loved ones],5. How much stress do you experience in the following areas of life? [Workload and Examinations],6. Are you involved in any extracurricular activities?,7. How often do you have a drink containing alcohol,"8. Over the last two weeks, how often have you experienced the following feelings? [Feeling optimistic about the future]","8. Over the last two weeks, how often have you experienced the following feelings? [Feeling useful]","8. Over the last two weeks, how often have you experienced the following feelings? [Feeling relaxed]","8. Over the last two weeks, how often have you experienced the following feelings? [Feeling able to deal with problems well]","8. Over the last two weeks, how often have you experienced the following feelings? [Feeling able to think clearly]","8. Over the last two weeks, how often have you experienced the following feelings? [Feeling close to others]","8. Over the last two weeks, how often have you experienced the following feelings? [Feeling confident]",9. Which of the following best describes your sexual attraction?,10. Please indicate how often you experience the following symptoms: [Mood Swings],10. Please indicate how often you experience the following symptoms: [Depressive Episodes],10. Please indicate how often you experience the following symptoms: [Manic Episodes],11. How would you rank your varsity academic performance?,12. How often do you pay attention to your feelings and emotions?,13. How often do you understand your own emotional states?,14. Have you been diagnosed with depression?,"15. Have you ever made an attempt to take your life, by taking an overdose of tablets or in some other way?",16. Have you ever deliberately harmed yourself in any way but not with the intention of killing yourself?,17. Do you have a family history of mental illness?,18. How many hours do you sleep on average per night?,19. How do you spend your free time after University?,"20. Over the past two weeks, how often have you experienced the following symptoms? [Feeling fearful]","20. Over the past two weeks, how often have you experienced the following symptoms? [Nervousness or shakiness inside]","20. Over the past two weeks, how often have you experienced the following symptoms? [Feeling hopeless about the future]","20. Over the past two weeks, how often have you experienced the following symptoms? [Feeling blue]","20. Over the past two weeks, how often have you experienced the following symptoms? [Worrying too much about things]","20. Over the past two weeks, how often have you experienced the following symptoms? [Feeling no interest in things]","20. Over the past two weeks, how often have you experienced the following symptoms? [Feeling everything is an effort]","20. Over the past two weeks, how often have you experienced the following symptoms? [Feeling worthless]",21. How would you describe your living environment?,22. How often do you go out with friends?
Female,22 to 26,Both parents are together,Third year,Moderate,Mild,Mild,Moderate,Moderate,Moderate,No,Never,Some of the time,Rarely,Rarely,Rarely,Some of the time,Not at all,Not at all,Heterosexual with no same-sex attraction,Sometimes,Sometimes,Rarely,Top 50%,Always,Alway,No,No,No,No,5-6 hours,Moderately Well,A little,Quite a bit,Quite a bit,Extremely,Extremely,Extremely,A little,Quite a bit,Neutral,Sometimes
Male,22 to 26,Both parents are together,Fourth year,Moderate,Mild,Severe,Moderate,Moderate,Severe,No,Never,Rarely,Rarely,Rarely,Rarely,Rarely,Some of the time,Some of the time,Heterosexual with no same-sex attraction,Rarely,Rarely,Rarely,Top 50%,Often,Sometimes,No,No,Yes,No,Less than 5 hours,Moderately Well,Not at all,A little,A little,Not at all,Extremely,Quite a bit,Quite a bit,Extremely,Relaxing,Sometimes
Female,22 to 26,Both parents are together,Fourth year,Very Severe,Moderate,Very Severe,Very Severe,Moderate,Very Severe,No,Never,Often,Often,Often,Often,Often,Often,Often,Heterosexual with no same-sex attraction,Sometimes,Sometimes,Sometimes,Top 50%,Sometimes,Sometimes,No,No,No,No,More than 8 hours,Very Poorly (Not at all productively),A little,A little,A little,A little,A little,A little,A little,A little,Very stressful,Rarely
Male,22 to 26,Both parents are together,Third year,Severe,Moderate,Moderate,Not at all,Not at all,Very Severe,Yes,Never,Some of the time,Some of the time,Rarely,Often,Often,Some of the time,Rarely,Heterosexual with no same-sex attraction,Rarely,Never,Never,Top 50%,Rarely,Rarely,No,No,No,Yes,7-8 hours,Moderately Well,Quite a bit,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Neutral,Often
Male,22 to 26,Both parents are together,Third year,Moderate,Mild,Mild,Not at all,Moderate,Mild,Yes,Monthly or less,Some of the time,Rarely,Some of the time,Some of the time,Often,Rarely,Rarely,Non-heterosexual without same-sex sexual contact,Sometimes,Rarely,Never,Bottom 50%,Often,Sometimes,No,Yes,Yes,No,Less than 5 hours,Moderately Well,A little,Quite a bit,A little,Not at all,A little,Quite a bit,Not at all,A little,Stressful,Never
Female,22 to 26,Both parents are together,Third year,Severe,Severe,Severe,Severe,Severe,Severe,No,Never,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Non-heterosexual with same-sex sexual contact,Often,Often,Often,Bottom 50%,Often,Sometimes,Yes,No,No,Yes,5-6 hours,Moderately Well,Quite a bit,Quite a bit,Quite a bit,Quite a bit,Quite a bit,Quite a bit,Quite a bit,Quite a bit,Neutral,Sometimes
Male,22 to 26,I do not have a mother (deceased),Third year,Severe,Severe,Very Severe,Severe,Not at all,Very Severe,No,Never,Some of the time,Not at all,Some of the time,Some of the time,Rarely,Rarely,All of the time,Heterosexual with no same-sex attraction,Rarely,Often,Sometimes,Bottom 50%,Never,Always,Yes,No,No,Yes,5-6 hours,Moderately Well,Not at all,Not at all,Quite a bit,Not at all,Quite a bit,Not at all,Quite a bit,Quite a bit,Neutral,Sometimes
Female,22 to 26,Both parents are together,First year,Mild,Not at all,Not at all,Mild,Not at all,Severe,No,Never,Some of the time,Rarely,Some of the time,Rarely,Some of the time,Some of the time,Often,Heterosexual with no same-sex attraction,Sometimes,Rarely,Rarely,Top 50%,Sometimes,Rarely,No,No,No,No,7-8 hours,Well,Quite a bit,Not at all,Not at all,A little,Not at all,Quite a bit,Extremely,Quite a bit,Very relaxing,Sometimes
Female,22 to 26,Both parents are together,Fourth year,Very Severe,Moderate,Mild,Not at all,Not at all,Very Severe,Yes,Never,Not at all,Not at all,Not at all,Not at all,Not at all,Some of the time,Not at all,Heterosexual with no same-sex attraction,Rarely,Always,Sometimes,Top 50%,Never,Never,Yes,No,No,No,Less than 5 hours,Very Poorly (Not at all productively),Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Quite a bit,Extremely,Stressful,Sometimes
Male,22 to 26,Both parents are together,Fourth year,Moderate,Not at all,Mild,Not at all,Not at all,Moderate,No,Never,Some of the time,Some of the time,Often,Often,Often,Some of the time,Often,Heterosexual with no same-sex attraction,Never,Sometimes,Never,Top 50%,Sometimes,Sometimes,No,No,No,No,7-8 hours,Moderately Well,Not at all,Not at all,A little,Not at all,Quite a bit,Not at all,Not at all,Not at all,Neutral,Sometimes
Male,22 to 26,Both parents are together,Third year,Mild,Moderate,Mild,Moderate,Mild,Mild,Yes,Never,Some of the time,Some of the time,Rarely,Often,Rarely,Rarely,Some of the time,Heterosexual with no same-sex attraction,Rarely,Sometimes,Rarely,Bottom 50%,Rarely,Sometimes,Yes,Yes,Yes,Yes,5-6 hours,Moderately Well,Quite a bit,A little,Quite a bit,A little,A little,A little,Quite a bit,A little,Stressful,Rarely
Female,17 to 21,Both parents are together,Second year,Severe,Moderate,Mild,Moderate,Very Severe,Severe,No,Never,Often,Often,Some of the time,Some of the time,Often,Rarely,Often,Heterosexual with no same-sex attraction,Always,Always,Often,Top 50%,Often,Sometimes,Yes,No,Yes,No,7-8 hours,Moderately Well,Quite a bit,Quite a bit,Quite a bit,Quite a bit,Extremely,Quite a bit,Quite a bit,Quite a bit,Neutral,Sometimes
